,Year,Electricity from All Renewables (TWh),Status
0,1985,3546.0,Reported
1,1986,3687.0,Reported
2,1987,3860.0,Reported
3,1988,4084.0,Reported
4,1989,4139.0,Reported
5,1990,4280.0,Reported
6,1991,4432.0,Reported
7,1992,4457.0,Reported
8,1993,4667.0,Reported
9,1994,4730.0,Reported
10,1995,4963.0,Reported
11,1996,5087.0,Reported
12,1997,5130.0,Reported
13,1998,5203.0,Reported
14,1999,5329.0,Reported
15,2000,5380.0,Reported
16,2001,5387.0,Reported
17,2002,5482.0,Reported
18,2003,5486.0,Reported
19,2004,5824.0,Reported
20,2005,5976.0,Reported
21,2006,6160.0,Reported
22,2007,6213.0,Reported
23,2008,6453.0,Reported
24,2009,6509.0,Reported
25,2010,6882.0,Reported
26,2011,6984.0,Reported
27,2012,7128.0,Reported
28,2013,7455.0,Reported
29,2014,7776.0,Reported
30,2015,8022.0,Reported
31,2016,8402.0,Reported
32,2017,8786.0,Reported
33,2018,9280.0,Reported
34,2019,9746.0,Reported
35,2020,10082.0,Reported
36,2021,10528.0,Reported
37,2022,10916.0,Predicted
38,2023,11346.0,Predicted
39,2024,11768.0,Predicted
40,2025,12230.0,Predicted
41,2026,12699.0,Predicted
42,2027,13199.0,Predicted
43,2028,13718.0,Predicted
44,2029,14266.0,Predicted
45,2030,14838.0,Predicted
46,2031,15441.0,Predicted
47,2032,16072.0,Predicted
48,2033,16736.0,Predicted
49,2034,17432.0,Predicted
50,2035,18162.0,Predicted
51,2036,18929.0,Predicted
52,2037,19734.0,Predicted
53,2038,20578.0,Predicted
54,2039,21465.0,Predicted
55,2040,22395.0,Predicted
56,2041,23372.0,Predicted
57,2042,24397.0,Predicted
58,2043,25473.0,Predicted
59,2044,26602.0,Predicted
60,2045,27788.0,Predicted
61,2046,29032.0,Predicted
62,2047,30338.0,Predicted
63,2048,31709.0,Predicted
64,2049,33147.0,Predicted
65,2050,34657.0,Predicted
66,2051,36242.0,Predicted
67,2052,37906.0,Predicted
68,2053,39652.0,Predicted
69,2054,41484.0,Predicted
70,2055,43408.0,Predicted
71,2056,45427.0,Predicted
72,2057,47546.0,Predicted
73,2058,49770.0,Predicted
74,2059,52105.0,Predicted
75,2060,54555.0,Predicted
76,2061,57127.0,Predicted
77,2062,59827.0,Predicted
78,2063,62660.0,Predicted
79,2064,65634.0,Predicted
80,2065,68756.0,Predicted
81,2066,72032.0,Predicted
82,2067,75471.0,Predicted
83,2068,79080.0,Predicted
84,2069,82869.0,Predicted
85,2070,86845.0,Predicted
86,2071,91019.0,Predicted
87,2072,95400.0,Predicted
88,2073,99998.0,Predicted
89,2074,104824.0,Predicted
90,2075,109889.0,Predicted
91,2076,115206.0,Predicted
92,2077,120786.0,Predicted
93,2078,126644.0,Predicted
94,2079,132791.0,Predicted
95,2080,139244.0,Predicted
96,2081,146017.0,Predicted
97,2082,153126.0,Predicted
98,2083,160587.0,Predicted
99,2084,168419.0,Predicted
100,2085,176639.0,Predicted
101,2086,185267.0,Predicted
102,2087,194322.0,Predicted
103,2088,203827.0,Predicted
104,2089,213804.0,Predicted
105,2090,224275.0,Predicted
106,2091,235266.0,Predicted
107,2092,246802.0,Predicted
108,2093,258910.0,Predicted
109,2094,271618.0,Predicted
110,2095,284957.0,Predicted
111,2096,298958.0,Predicted
112,2097,313654.0,Predicted
113,2098,329078.0,Predicted
114,2099,345267.0,Predicted
115,2100,362260.0,Predicted
116,2101,380095.0,Predicted
